WC_TA,RE_TA,EBIT_TA,MVE_BVTD,S_TA,Industry,Rating
0.013,0.104,0.036,0.447,0.142,3,'BB'
0.232,0.335,0.062,1.969,0.281,8,'A'
0.311,0.367,0.074,1.935,0.366,1,'A'
0.194,0.263,0.062,1.017,0.228,4,'BBB'
0.121,0.413,0.057,3.647,0.466,12,'AAA'
-0.117,-0.799,0.01,0.179,0.082,4,'CCC'
0.087,0.158,0.049,0.816,0.324,2,'BBB'
0.005,0.181,0.034,2.597,0.388,7,'AA'
0.47,0.752,0.07,11.596,1.12,8,'AAA'
0.11,0.337,0.045,3.835,0.812,4,'AAA'
-0.108,-0.615,0.017,0.145,0.104,11,'CCC'
0.008,0.121,0.03,2.109,0.446,9,'A'
0.031,0.045,0.039,0.816,0.301,6,'BB'
-0.015,0.178,0.021,3.087,0.685,9,'A'
-0.097,-0.004,0.024,0.673,0.178,1,'BB'
0.511,0.869,0.106,8.538,0.732,2,'AAA'
0.237,0.198,0.072,0.876,0.205,8,'BB'
0.223,0.253,0.063,0.925,0.246,7,'BBB'
0.302,0.536,0.061,1.586,0.303,2,'A'
0.262,0.429,0.064,2.355,0.292,5,'AA'
0.251,0.283,0.063,0.94,0.28,5,'BBB'
0.048,0.247,0.042,2.941,0.493,8,'AA'
0.101,0.173,0.05,0.686,0.171,9,'BBB'
0.265,0.269,0.078,0.795,0.277,10,'BB'
0.162,0.407,0.067,2.274,0.41,3,'AA'
0.198,0.239,0.062,0.714,0.132,1,'BBB'
0.131,0.139,0.05,0.346,0.098,7,'BB'
0.286,0.219,0.075,0.442,0.135,4,'BB'
0.134,0.158,0.053,0.743,0.174,5,'BBB'
0.279,0.45,0.068,2.744,0.401,6,'AA'
0.202,0.46,0.064,3.685,0.682,4,'AAA'
-0.032,0.084,0.021,0.948,0.269,7,'BBB'
0.306,0.487,0.075,2.185,0.249,11,'AA'
0.295,0.346,0.07,0.981,0.247,7,'BBB'
0.019,0.009,0.042,0.257,0.119,1,'B'
0.145,0.235,0.057,2.632,0.3,7,'AA'
0.307,0.461,0.079,1.842,0.284,2,'A'
0.238,0.181,0.073,0.712,0.189,10,'BB'
0.062,0.154,0.046,0.491,0.132,10,'BB'
0.399,0.506,0.096,3.393,0.477,3,'AAA'
0.321,0.439,0.068,2.018,0.41,1,'A'
0.068,0.463,0.049,3.129,0.559,3,'AA'
0.098,0.259,0.048,2.488,0.459,11,'AA'
0.185,0.208,0.057,0.926,0.194,12,'BBB'
0.277,0.307,0.066,0.719,0.137,9,'BBB'
0.365,0.622,0.089,4.132,0.443,5,'AAA'
-0.168,-1.86,-0.012,0.045,0.051,2,'CCC'
-0.03,-0.064,0.025,0.667,0.202,6,'BB'
0.234,0.467,0.068,2.525,0.338,5,'AA'
0.157,0.325,0.058,1.432,0.241,8,'A'
0.331,0.259,0.066,0.585,0.112,3,'BBB'
0.14,0.288,0.056,1.644,0.27,7,'A'
0.038,0.403,0.045,3.92,0.622,12,'AAA'
0.168,0.283,0.059,1.705,0.315,1,'BBB'
-0.14,-0.242,0.003,0.367,0.129,6,'BB'
0.171,0.12,0.056,0.382,0.093,9,'BB'
0.038,-0.033,0.033,0.334,0.103,3,'BB'
0.098,0.168,0.047,0.707,0.195,8,'BB'
0.253,0.303,0.068,0.695,0.236,7,'BBB'
-0.011,0.324,0.024,1.88,0.273,11,'A'
0.096,0.207,0.047,1.289,0.269,5,'BBB'
0.095,0.223,0.054,0.952,0.248,5,'BBB'
0.112,0.14,0.047,0.671,0.103,11,'BBB'
0.144,0.297,0.055,1.483,0.357,6,'A'
0.13,0.301,0.05,0.942,0.317,5,'BBB'
0.377,0.533,0.073,2.858,0.37,1,'AA'
-0.078,-0.042,0.011,0.262,0.167,7,'B'
0.275,0.373,0.068,1.547,0.233,4,'A'
0.373,0.444,0.083,2.277,0.253,3,'AA'
0.037,0.086,0.047,0.56,0.238,8,'B'
0.012,0.115,0.028,1.602,0.345,3,'A'
0.036,0.399,0.041,3.968,0.749,3,'AAA'
0.038,0.068,0.033,0.523,0.148,1,'BB'
0.506,0.599,0.108,1.882,0.27,1,'AA'
0.053,0.059,0.038,0.501,0.146,6,'BB'
0.127,0.242,0.056,2.141,0.356,11,'AA'
0.105,0.32,0.052,4.058,0.381,11,'AAA'
0.055,0.249,0.042,2.987,0.457,9,'AA'
0.216,0.467,0.068,3.572,0.548,2,'AA'
0.106,0.224,0.062,0.392,0.086,8,'BB'
0.548,0.826,0.107,4.903,0.268,12,'AAA'
0.009,-0.205,0.035,0.4,0.167,12,'BB'
0.267,0.346,0.069,1.25,0.258,5,'BBB'
0.136,0.038,0.051,0.258,0.085,11,'BB'
0.128,0.334,0.047,2.72,0.492,9,'AA'
0.234,0.353,0.071,1.458,0.224,10,'BBB'
0.102,0.151,0.05,0.707,0.153,12,'BBB'
0.227,0.176,0.063,0.352,0.097,1,'BB'
0.219,0.319,0.065,1.135,0.214,7,'BBB'
0.041,0.225,0.042,1.332,0.427,1,'BBB'
0.211,0.178,0.057,0.636,0.114,10,'BBB'
0.008,0.036,0.027,0.63,0.201,12,'BB'
0.253,0.043,0.068,0.169,0.065,6,'BB'
0.142,0.271,0.058,1.609,0.266,6,'A'
0.286,0.195,0.068,0.89,0.19,3,'BBB'
0.26,0.385,0.071,1.725,0.309,10,'A'
0.036,0.075,0.04,0.54,0.181,1,'BB'
-0.12,-0.495,0.011,0.564,0.148,3,'BB'
0.063,0.102,0.043,0.93,0.222,2,'BB'
-0.036,0.485,0.02,14.418,1.121,3,'AAA'
0.191,0.303,0.059,1.595,0.332,9,'BBB'
-0.059,0.004,0.018,0.785,0.231,7,'BB'
0.282,0.354,0.067,2.405,0.398,2,'AA'
0.084,0.129,0.04,0.904,0.304,9,'BB'
0.236,0.283,0.059,1.889,0.419,5,'A'
-0.032,-0.045,0.027,0.549,0.182,9,'B'
-0.056,-0.265,0.023,0.146,0.075,12,'CCC'
0.223,0.283,0.066,1.487,0.246,4,'BBB'
0.557,1.049,0.116,54.207,1.603,9,'AAA'
0.313,0.511,0.078,3.461,0.452,9,'AA'
0.359,0.422,0.085,3.423,0.378,9,'AA'
0.008,-0.04,0.03,0.382,0.13,11,'BB'
0.346,0.389,0.078,1.773,0.398,3,'A'
0.095,0.118,0.054,0.508,0.169,4,'BB'
0.085,0.257,0.046,0.929,0.178,3,'BBB'
0.224,0.449,0.068,3.204,0.332,10,'AA'
