Date,SPY,BTC,AAPL,MSFT,IBM,GLDI,V
6/16/2015,210.25,250.895004,127.5999985,45.83000183,166.8399963,11.68999958,69.01000214
6/23/2015,212.039993,244.296005,127.0299988,45.90999985,168.6199951,11.59599972,69.41999817
6/30/2015,205.850006,263.071991,125.4300003,44.15000153,162.6600037,11.55000019,67.15000153
7/7/2015,208.020004,266.207001,125.6900024,44.29999924,165,11.41100025,67.76999664
7/14/2015,210.679993,287.463989,125.6100006,45.61999893,168.6100006,11.39999962,70.09999847
7/21/2015,211.75,275.833008,130.75,47.27999878,163.0700073,10.80000019,72.01999664
7/28/2015,209.330002,294.427002,123.3799973,45.34000015,160.0500031,10.77000046,74.73999786
8/4/2015,209.380005,285.217987,114.6399994,47.54000092,157.6000061,10.67000008,75.26999664
8/11/2015,208.669998,270.385986,113.4899979,46.40999985,155.5099945,10.88000011,73.36000061
8/18/2015,209.979996,211.078995,116.5,47.27000046,156.0099945,10.93000031,74.47000122
8/25/2015,187.270004,221.608994,103.7399979,40.47000122,140.9600067,11.01000023,66.97000122
9/1/2015,191.770004,228.121002,107.7200012,41.81999969,142.6799927,11.03999996,68.95999908
9/8/2015,197.429993,243.606995,112.3099976,43.88999939,147.2299957,11,70.52999878
9/15/2015,198.460007,230.304001,116.2799988,43.97999954,147.5299988,10.89999962,70.51000214
9/22/2015,193.910004,230.617996,113.4000015,43.90000153,144.4299927,10.93000031,70.25
9/29/2015,188.119995,236.686996,109.0599976,43.43999863,142.4700012,11,68.52999878
10/6/2015,197.789993,246.063004,111.3099976,46.75,148.7799988,11.18099976,72.08000183
10/13/2015,200.25,249.507996,111.7900009,46.88999939,149.6199951,11.31000042,75
10/20/2015,203.110001,269.463013,113.7699966,47.77000046,140.6399994,11.28999996,76.27999878
10/27/2015,206.600006,293.787994,114.5500031,53.68999863,137.8600006,11.31000042,77.51999664
11/3/2015,211,403.416992,122.5699997,54.15000153,141.8800049,11.01000023,77.90000153
11/10/2015,208.559998,336.819,116.7699966,53.50999832,135.4700012,10.72000027,79.48000336
11/17/2015,205.470001,335.093994,113.6900024,52.97000122,133.8200073,10.52000046,78.83000183
11/24/2015,209.350006,320.04599,118.8799973,54.25,138.6000061,10.43999958,79.79000092
12/1/2015,210.679993,362.488007,117.3399963,55.22000122,141.2799988,10.39000034,79.91000366
12/8/2015,206.949997,415.562988,118.2300034,55.79000092,138.0500031,10.39999962,79.06999969
12/15/2015,205.029999,465.321014,110.4899979,55.20000076,137.7899933,10.31000042,78.62000275
12/22/2015,203.5,436.571991,107.2300034,55.34999847,137.9299927,10.38099957,77.37999725
12/29/2015,207.399994,432.983002,108.7399979,56.54999924,139.7799988,10.36999989,79.20999908
1/5/2016,201.360001,431.959991,102.7099991,55.04999924,135.8500061,10.46700001,76.26999664
1/12/2016,193.660004,435.690002,99.95999908,52.77999878,132.8999939,10.53100014,74.76000214
1/19/2016,188.059998,380.148987,96.66000366,50.56000137,128.1100006,10.47999954,71.38999939
1/26/2016,190.199997,392.153015,99.98999786,52.16999817,122.5899963,10.71000004,71.87999725
2/2/2016,190.160004,374.447998,94.48000336,53,122.9400024,10.72500038,73.40000153
2/9/2016,185.429993,376.028992,94.98999786,49.27999878,124.0699997,10.75,68.33000183
2/16/2016,189.779999,407.488007,96.63999939,51.09000015,122.7399979,10.71000004,71.09999847
2/23/2016,192.320007,420.735992,94.69000244,51.18000031,132.3999939,10.65999985,72.15000153
3/1/2016,198.110001,435.122986,100.5299988,52.58000183,134.3699951,10.76599979,74.63999939
