Date,AAPL,MSFT,IBM,AABA,GLDI
2016-11-21,111.73,60.86,162.77,41.11,9.44
2016-11-22,111.8,61.12,162.67,41.01,9.47
2016-11-23,111.23,60.4,161.98,40.96,9.29
2016-11-25,111.79,60.53,163.14,40.87,9.21
2016-11-28,111.57,60.61,164.52,41.45,9.3
2016-11-29,111.46,61.09,163.53,41.6,9.27
2016-11-30,110.52,60.26,162.22,41.02,9.15
2016-12-01,109.49,59.2,159.82,39.63,9.12
2016-12-02,109.9,59.25,160.02,40.07,9.17
2016-12-05,109.11,60.22,159.84,40.2,9.1
2016-12-06,109.95,59.95,160.35,39.97,9.11
2016-12-07,111.03,61.37,164.79,40.52,9.11
2016-12-08,112.12,61.01,165.36,41.41,9.1
2016-12-09,113.95,61.97,166.52,41.76,9.04
2016-12-12,113.3,62.17,165.5,41.3,9.04
2016-12-13,115.19,62.98,168.29,41.47,9.04
2016-12-14,115.19,62.68,168.51,40.91,8.93
2016-12-15,115.82,62.58,168.02,38.41,8.85
2016-12-16,115.97,62.3,166.73,38.61,8.86
2016-12-19,116.64,63.62,166.68,38.42,8.87
2016-12-20,116.95,63.54,167.6,39.16,8.83
2016-12-21,117.06,63.54,167.33,39.15,8.81
2016-12-22,116.29,63.55,167.06,38.5,8.81
2016-12-23,116.52,63.24,166.71,38.66,8.81
2016-12-27,117.26,63.28,167.14,38.92,8.87
2016-12-28,116.76,62.99,166.19,38.73,8.91
2016-12-29,116.73,62.9,166.6,38.64,8.99
2016-12-30,115.82,62.14,165.99,38.67,8.94
2017-01-03,116.15,62.58,167.19,38.9,9.01
2017-01-04,116.02,62.3,169.26,40.06,9.07
2017-01-05,116.61,62.3,168.7,41.34,9.2
2017-01-06,117.91,62.84,169.53,41.23,9.15
2017-01-09,118.99,62.64,167.65,41.34,9.22
2017-01-10,119.11,62.62,165.52,42.3,9.22
2017-01-11,119.75,63.19,167.75,42.59,9.27
2017-01-12,119.25,62.61,167.95,42.11,9.3
2017-01-13,119.04,62.7,167.34,42.27,9.38
2017-01-17,120.0,62.53,167.89,41.99,9.43
2017-01-18,119.99,62.5,166.8,42.03,9.29
2017-01-19,119.78,62.3,166.81,42.09,9.35
2017-01-20,120.0,62.74,170.55,42.05,9.32
2017-01-23,120.08,62.96,171.03,42.4,9.36
2017-01-24,119.97,63.52,175.9,43.9,9.34
2017-01-25,121.88,63.68,178.29,44.94,9.3
2017-01-26,121.94,64.27,178.66,44.55,9.26
2017-01-27,121.95,65.78,177.3,44.42,9.23
2017-01-30,121.63,65.13,175.8,43.93,9.28
2017-01-31,121.35,64.65,174.52,44.07,9.37
2017-02-01,128.75,63.58,174.29,43.78,9.35
2017-02-02,128.53,63.17,174.58,43.69,9.35
2017-02-03,129.08,63.68,175.82,43.71,9.41
